# x_m, y_m, w_tr_right_m, w_tr_left_m
0.382934, -0.513127, 1.087821, 1.109907
0.303629, -0.523638, 1.087529, 1.101748
0.224163, -0.532838, 1.085431, 1.099184
0.144453, -0.539613, 1.076457, 1.097494
0.064750, -0.546477, 1.068590, 1.099359
-0.014761, -0.555280, 1.063928, 1.098543
-0.094007, -0.566206, 1.059266, 1.100932
-0.172665, -0.580709, 1.057809, 1.099709
-0.250625, -0.598641, 1.060664, 1.103788
-0.328573, -0.616644, 1.072552, 1.100466
-0.406571, -0.634429, 1.086480, 1.095979
-0.484583, -0.652153, 1.098660, 1.101865
-0.562680, -0.669497, 1.101107, 1.105012
-0.641061, -0.685509, 1.099476, 1.110140
-0.719626, -0.700578, 1.100524, 1.118182
-0.798601, -0.713323, 1.104196, 1.124767
-0.877709, -0.725234, 1.098834, 1.126632
-0.956813, -0.737175, 1.103671, 1.124242
-1.035668, -0.750622, 1.128322, 1.138423
-1.113735, -0.767999, 1.159907, 1.156069
-1.188968, -0.794854, 1.183683, 1.176385
-1.259463, -0.832448, 1.191783, 1.189763
-1.322227, -0.881837, 1.180128, 1.188089
-1.377447, -0.939615, 1.153730, 1.183132
-1.426787, -1.002564, 1.111364, 1.170307
-1.472682, -1.068071, 1.061888, 1.146754
-1.516326, -1.135114, 1.005303, 1.100175
-1.558206, -1.203273, 0.958275, 1.054738
-1.598650, -1.272295, 0.925000, 1.020254
-1.637722, -1.342101, 0.892133, 0.991177
-1.672486, -1.414128, 0.856177, 0.967635
-1.702314, -1.488333, 0.825699, 0.953939
-1.723889, -1.565298, 0.795979, 0.930612
-1.737830, -1.644039, 0.769639, 0.903193
-1.746212, -1.723588, 0.755536, 0.873599
-1.752528, -1.803337, 0.751923, 0.840606
-1.760016, -1.882984, 0.747552, 0.799511
-1.767626, -1.962620, 0.738928, 0.772582
-1.773946, -2.042362, 0.734615, 0.743805
-1.776242, -2.122318, 0.735198, 0.742648
-1.774189, -2.202267, 0.735373, 0.762506
-1.766560, -2.281879, 0.737179, 0.802866
-1.754754, -2.360996, 0.748893, 0.832754
-1.739629, -2.439542, 0.758683, 0.864699
-1.721036, -2.517343, 0.785781, 0.898222
-1.696668, -2.593515, 0.806177, 0.933798
-1.666773, -2.667686, 0.832051, 0.958794
-1.631373, -2.739414, 0.860198, 0.984257
-1.594353, -2.810333, 0.890035, 1.011689
-1.556853, -2.880999, 0.931993, 1.033117
-1.518004, -2.950927, 0.973834, 1.055474
-1.475733, -3.018805, 0.998776, 1.076394
-1.426130, -3.081442, 1.018648, 1.089967
-1.362604, -3.129663, 1.023718, 1.097099
-1.288188, -3.157628, 1.017541, 1.096735
-1.208803, -3.165106, 0.997436, 1.100806
-1.129232, -3.157643, 0.978205, 1.090805
-1.050679, -3.142625, 0.949068, 1.068571
-0.972731, -3.124627, 0.923543, 1.036237
-0.894810, -3.106528, 0.911014, 0.976966
-0.816295, -3.091204, 0.899301, 0.930022
-0.737560, -3.077040, 0.876632, 0.890217
-0.658684, -3.063682, 0.858100, 0.859194
-0.579593, -3.051671, 0.838287, 0.830647
-0.500220, -3.041698, 0.822203, 0.821072
-0.420795, -3.032132, 0.807984, 0.826573
-0.341337, -3.022838, 0.806818, 0.839802
-0.261998, -3.012586, 0.806002, 0.845746
-0.182808, -3.001237, 0.823310, 0.850058
-0.103560, -2.990294, 0.849592, 0.861946
-0.024198, -2.980218, 0.879312, 0.881119
0.055255, -2.970902, 0.908450, 0.903089
0.134945, -2.963930, 0.928788, 0.930594
0.214850, -2.960205, 0.940035, 0.957867
0.294819, -2.960839, 0.950816, 0.990326
0.374137, -2.970800, 0.950816, 1.012413
0.451898, -2.989302, 0.953030, 1.020338
0.525917, -3.019316, 0.952098, 1.007284
0.594521, -3.060208, 0.959033, 0.981235
0.657763, -3.109095, 0.953963, 0.950350
0.716388, -3.163487, 0.943939, 0.917541
0.770746, -3.222167, 0.937005, 0.881585
0.822246, -3.283374, 0.917541, 0.855653
0.872085, -3.345950, 0.891142, 0.836072
